0.003146177200347 0.002285831536693 0.053142696805274 , 0.004444444444444 0.000000000000000 0.052290614236454 , 0.003595631086111 0.002612378899078 0.052290614236454 
0.003146177200347 0.002285831536693 0.053142696805274 , 0.001201732755903 0.003698553118926 0.053142696805274 , 0.003595631086111 0.002612378899078 0.052290614236454 
0.001201732755903 0.003698553118926 0.053142696805274 , 0.003595631086111 0.002612378899078 0.052290614236454 , 0.001373408863889 0.004226917850201 0.052290614236454 
0.001201732755903 0.003698553118926 0.053142696805274 , -0.001201732755903 0.003698553118926 0.053142696805274 , 0.001373408863889 0.004226917850201 0.052290614236454 
-0.001201732755903 0.003698553118926 0.053142696805274 , 0.001373408863889 0.004226917850201 0.052290614236454 , -0.001373408863889 0.004226917850201 0.052290614236454 
-0.001201732755903 0.003698553118926 0.053142696805274 , -0.003146177200347 0.002285831536693 0.053142696805274 , -0.001373408863889 0.004226917850201 0.052290614236454 
-0.003146177200347 0.002285831536693 0.053142696805274 , -0.001373408863889 0.004226917850201 0.052290614236454 , -0.003595631086111 0.002612378899078 0.052290614236454 
-0.003146177200347 0.002285831536693 0.053142696805274 , -0.003888888888889 0.000000000000000 0.053142696805274 , -0.003595631086111 0.002612378899078 0.052290614236454 
-0.003888888888889 0.000000000000000 0.053142696805274 , -0.003595631086111 0.002612378899078 0.052290614236454 , -0.004444444444444 0.000000000000000 0.052290614236454 
-0.003888888888889 0.000000000000000 0.053142696805274 , -0.003146177200347 -0.002285831536693 0.053142696805274 , -0.004444444444444 0.000000000000000 0.052290614236454 
-0.003146177200347 -0.002285831536693 0.053142696805274 , -0.004444444444444 0.000000000000000 0.052290614236454 , -0.003595631086111 -0.002612378899078 0.052290614236454 
-0.003146177200347 -0.002285831536693 0.053142696805274 , -0.001201732755903 -0.003698553118926 0.053142696805274 , -0.003595631086111 -0.002612378899078 0.052290614236454 
-0.001201732755903 -0.003698553118926 0.053142696805274 , -0.003595631086111 -0.002612378899078 0.052290614236454 , -0.001373408863889 -0.004226917850201 0.052290614236454 
-0.001201732755903 -0.003698553118926 0.053142696805274 , 0.001201732755903 -0.003698553118926 0.053142696805274 , -0.001373408863889 -0.004226917850201 0.052290614236454 
0.001201732755903 -0.003698553118926 0.053142696805274 , -0.001373408863889 -0.004226917850201 0.052290614236454 , 0.001373408863889 -0.004226917850201 0.052290614236454 
0.001201732755903 -0.003698553118926 0.053142696805274 , 0.003146177200347 -0.002285831536693 0.053142696805274 , 0.001373408863889 -0.004226917850201 0.052290614236454 
0.003146177200347 -0.002285831536693 0.053142696805274 , 0.001373408863889 -0.004226917850201 0.052290614236454 , 0.003595631086111 -0.002612378899078 0.052290614236454 
0.003146177200347 -0.002285831536693 0.053142696805274 , 0.003888888888889 0.000000000000000 0.053142696805274 , 0.003595631086111 -0.002612378899078 0.052290614236454 
0.003888888888889 0.000000000000000 0.053142696805274 , 0.003595631086111 -0.002612378899078 0.052290614236454 , 0.004444444444444 0.000000000000000 0.052290614236454 
0.004444444444444 0.000000000000000 0.052290614236454 , 0.003595631086111 0.002612378899078 0.052290614236454 , 0.005000000000000 0.000000000000000 0.050000000000000 
0.003595631086111 0.002612378899078 0.052290614236454 , 0.005000000000000 0.000000000000000 0.050000000000000 , 0.004045084971875 0.002938926261462 0.050000000000000 
0.003595631086111 0.002612378899078 0.052290614236454 , 0.001373408863889 0.004226917850201 0.052290614236454 , 0.004045084971875 0.002938926261462 0.050000000000000 
0.001373408863889 0.004226917850201 0.052290614236454 , 0.004045084971875 0.002938926261462 0.050000000000000 , 0.001545084971875 0.004755282581476 0.050000000000000 
0.001373408863889 0.004226917850201 0.052290614236454 , -0.001373408863889 0.004226917850201 0.052290614236454 , 0.001545084971875 0.004755282581476 0.050000000000000 
-0.001373408863889 0.004226917850201 0.052290614236454 , 0.001545084971875 0.004755282581476 0.050000000000000 , -0.001545084971875 0.004755282581476 0.050000000000000 
-0.001373408863889 0.004226917850201 0.052290614236454 , -0.003595631086111 0.002612378899078 0.052290614236454 , -0.001545084971875 0.004755282581476 0.050000000000000 
-0.003595631086111 0.002612378899078 0.052290614236454 , -0.001545084971875 0.004755282581476 0.050000000000000 , -0.004045084971875 0.002938926261462 0.050000000000000 
