0.000459 -0.000593 0.019298, 0.470081 -0.647012 -0.600333
0.000504 -0.000491 0.019236, 0.594330 -0.535138 -0.600333
0.000573 -0.000485 0.019298, 0.594330 -0.535137 -0.600333
0.000595 -0.000376 0.019236, 0.692604 -0.399875 -0.600333
0.000661 -0.000355 0.019298, 0.692604 -0.399875 -0.600333
0.000660 -0.000244 0.019236, 0.760608 -0.247137 -0.600333
0.000720 -0.000210 0.019298, 0.760608 -0.247137 -0.600333
0.000696 -0.000101 0.019236, 0.795369 -0.083597 -0.600333
0.000748 -0.000056 0.019298, 0.795369 -0.083596 -0.600333
0.000837 0.000056 0.019425, 0.836760 0.087947 -0.540461
0.000872 0.000120 0.019490, 0.836760 0.087947 -0.540460
0.000807 0.000228 0.019425, 0.800190 0.259998 -0.540460
0.000828 0.000298 0.019490, 0.800190 0.259997 -0.540461
0.000742 0.000391 0.019425, 0.728647 0.420684 -0.540461
0.000748 0.000464 0.019490, 0.728647 0.420685 -0.540460
0.000645 0.000537 0.019425, 0.625259 0.562986 -0.540460
0.000635 0.000609 0.019490, 0.625259 0.562986 -0.540460
0.000519 0.000659 0.019425, 0.494544 0.680682 -0.540460
0.000494 0.000728 0.019490, 0.494545 0.680682 -0.540461
0.000370 0.000753 0.019425, 0.342216 0.768629 -0.540461
0.000332 0.000815 0.019490, 0.342216 0.768629 -0.540460
0.000206 0.000813 0.019425, 0.174931 0.822983 -0.540460
0.000156 0.000866 0.019490, 0.174931 0.822984 -0.540460
0.000032 0.000838 0.019425, 0.000000 0.841369 -0.540460
-0.000028 0.000880 0.019490, -0.000000 0.841369 -0.540460
-0.000143 0.000827 0.019425, -0.174931 0.822984 -0.540460
-0.000210 0.000855 0.019490, -0.174931 0.822983 -0.540460
-0.000312 0.000779 0.019425, -0.342216 0.768629 -0.540460
-0.000383 0.000792 0.019490, -0.342216 0.768629 -0.540461
-0.000467 0.000697 0.019425, -0.494544 0.680682 -0.540461
-0.000540 0.000695 0.019490, -0.494545 0.680682 -0.540460
-0.000601 0.000585 0.019425, -0.625259 0.562986 -0.540460
-0.000672 0.000568 0.019490, -0.625259 0.562986 -0.540460
-0.000710 0.000447 0.019425, -0.728648 0.420684 -0.540460
-0.000776 0.000416 0.019490, -0.728647 0.420685 -0.540461
-0.000787 0.000290 0.019425, -0.800190 0.259998 -0.540461
-0.000845 0.000245 0.019490, -0.800190 0.259997 -0.540460
-0.000830 0.000120 0.019425, -0.836760 0.087947 -0.540460
-0.000878 0.000064 0.019490, -0.836760 0.087947 -0.540461
-0.000837 -0.000056 0.019425, -0.836760 -0.087947 -0.540461
-0.000872 -0.000120 0.019490, -0.836760 -0.087947 -0.540460
-0.000807 -0.000228 0.019425, -0.800190 -0.259998 -0.540460
-0.000828 -0.000298 0.019490, -0.800190 -0.259997 -0.540461
